MsCode,DemCode,EstCode,Year,Estimate,SE,LowerCIB,UpperCIB,Flag
MEASA,ETHG01,A_Proportion,2019,9.8,1,8.7,10.8,
MEASA,ETHG01,B_Number,2019,71.3,8.2,63.2,79.5,
MEASA,ETHG01,C_Population,2019,731.3,19.6,711.7,751,
MEASA,ETHG01,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG01,E_Number_diff,2019, , , , ,NA
MEASA,ETHG02,A_Proportion,2019,17.9,1.9,16,19.8,
MEASA,ETHG02,B_Number,2019,52.8,6.3,46.5,59.1,
MEASA,ETHG02,C_Population,2019,295.5,12.8,282.7,308.3,
MEASA,ETHG02,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG02,E_Number_diff,2019, , , , ,NA
MEASA,ETHG03,A_Proportion,2019,18.6,3.3,15.2,21.9,
MEASA,ETHG03,B_Number,2019,26.2,5.3,20.9,31.5,
MEASA,ETHG03,C_Population,2019,141.2,12.6,128.6,153.8,
MEASA,ETHG03,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG03,E_Number_diff,2019, , , , ,NA
MEASA,ETHG04,A_Proportion,2019,15.1,2.8,12.3,17.8,
MEASA,ETHG04,B_Number,2019,27.2,5.6,21.6,32.8,
MEASA,ETHG04,C_Population,2019,180.4,14.6,165.9,195,
MEASA,ETHG04,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG04,E_Number_diff,2019, , , , ,NA
MEASA,ETHG05,A_Proportion,2019,30,10.1,19.9,40.1,
MEASA,ETHG05,B_Number,2019,6.6,2.7,3.9,9.3,
MEASA,ETHG05,C_Population,2019,22.1,4.7,17.4,26.7,
MEASA,ETHG05,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG05,E_Number_diff,2019, , , , ,NA
MEASA,ETHG06,A_Proportion,2019,26.8,12.8,14,39.7,
MEASA,ETHG06,B_Number,2019,6,3.3,2.8,9.3,
MEASA,ETHG06,C_Population,2019,22.5,5.5,17,28,
MEASA,ETHG06,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG06,E_Number_diff,2019, , , , ,NA
MEASA,ETHG99,A_Proportion,2019,13.5,0.9,12.6,14.4,
MEASA,ETHG99,B_Number,2019,153.2,10.1,143.2,163.3,
MEASA,ETHG99,C_Population,2019,1132.8, , , ,NA
MEASA,ETHG99,D_Proportion_diff,2019, , , , ,NA
MEASA,ETHG99,E_Number_diff,2019, , , , ,NA
MEASA,REGC01,A_Proportion,2019,17.2,7.7,9.5,24.9,
MEASA,REGC01,B_Number,2019,8,3.6,4.4,11.5,
MEASA,REGC01,C_Population,2019,46.3,4.5,41.8,50.8,
MEASA,REGC01,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC01,E_Number_diff,2019, , , , ,NA
MEASA,REGC02,A_Proportion,2019,13.7,1.8,11.8,15.5,
MEASA,REGC02,B_Number,2019,51.2,7.1,44.2,58.3,
MEASA,REGC02,C_Population,2019,374.5,12.3,362.2,386.8,
MEASA,REGC02,D_Proportion_diff,2019, , , , ,NA
MEASA,REGC02,E_Number_diff,2019, , , , ,NA
